,labels,comments
126,ham,"These replicas are getting too close for comfort.  As a watchmaker l have found only one simple way to  spot a fake Patek or Rolex.  Ok you need to open the watch.... so maybe its not so simple.

The balance wheel is regulated by small weights on the balance wheel.  It's called a free sprung balance wheel and is very difficult to make and adjust. Most balance wheels are simply adjusted by changing the length of the spring using an extra arm that pinches the spring. All fakes use this method!!"
127,ham,"Great content, and you’re cute to"
128,ham,Your volume seems really low btw
129,ham,"I gave up on the purchase, the finish of the date dial was simply SHIT, a pity since the watch itself is very good. when they fix this grotesque error, I buy it."
130,ham,"As a practical note Both have the same job at different cost , almost same look for a normal person."
131,ham,OK but if you arrive in a Camry and cheap clothes then no-one is gonna be convinced
132,ham,Oh No!!! I almost ordered these watches from e-bay. 😏(Wink...wink)
133,ham,"4:45, use a  20  times magnification and you will see the  big imprecisions LoL"
134,ham,"Thank you for sharing dear, and greetings from Costa Rica..."
135,ham,"Thing is that even the real one looks like a $500 watch, totally bland design."
136,ham,"If you think the real one's engraving was done by hand, I've got this nice bridge in Brooklyn for sale..."
137,ham,Ty for this video. Bought the replica and actually really love IT! I'm impressed!
138,ham,Great i love it great review
139,ham,So now we have to carry a magnifying glass 🔎.
140,ham,"Thanks for the tips, now I only need to borrow a real Nautilus from someone so I can make the comparison."
141,ham,"pas mal ( à priori ⁉️) la copie en tous cas visuellement à travers une vidéo ! 
mais avec les copies aussi bonnes soient-elles : "" on a pas l 'experiance de se rendre chez PP et de vivre l 'emotion qui va avec lorsque on s'achète ce type de garde temps ...😷"
142,ham,"I have been collecting pocket watches, generally pre 19th century. Most are cased .925 ssilver but some are 9 to 22 carat cases, which are getting harder to find. Top American made are my favourite, and are growing in value quite quickly. A great hobby."
143,ham,Nice I like how the watch channels have started giving attention to the fake community 😂
144,spam,Subscribed ❤
145,ham,"Thanks, a little bit late in my part, but thanks for this kind of video, it's an. unvaluable resource for the watch loving community."
146,ham,"Incredible, thanks you, from Buenos Aires.  👍👍👍👍"
147,ham,"I was looking at this from a usd point of view and went ""60 is real while 500 is fake?"" 😂😂😂"
148,ham,"I'm sold, I'll take 1 replica please"
149,ham,barbara🏅🎖🏅
150,ham,She’s indirectly saying save 60 grand and get the fake 🤷🏽‍♂️
151,ham,"so nice and pretty girl, and also skilled in luxury watches, greetings for you, and thanks to teach us to know the diferences among watches using telescopes :D

i will go for a super clone, clone watches are enough for me ;)"
152,ham,"Thank you, we will make those changes - CHINA 🇨🇳"
153,spam,"With all due respect,
mathematically
60.000 < 500"
154,ham,"Its growing, some watch dealers are saying 1 in 10 or more watches customers send in are fakes and its getting worse all the time"
155,ham,Chinese Manufacturer: Thank you for pointing these out. We will do better on our next fake.
156,ham,"Tourbillion swiss watches över 150k
Tag heur tourbillion 15k
Means no need to buy luxury watches"
157,ham,"Thanks for posting. I'm now sure, that this clone have good quality. Where can I buy this watch replica?"
158,ham,tbh its really hard to find and buy good replica. every single one that i saw was really bad.
159,ham,Am waiting for the astronomia replica💯💯
160,ham,"So to actually be able to tell the difference, you need a microscope and a real version next to the replica. Yeah, PP can keep their 60,000 euro. I will take the 500 euro replica and invest the difference."
161,ham,"Jenni Elle FYI: the engraving on the movement on a genuine is not made by hand (impossible), it is made by a CNC machine, same like all other parts of the movement on that 60K Patek, the ""handmade"" part belongs only to the finishing of the movement (bevelling, polishing, and the geneva strips / pearlage) and assembly of parts.
The only high-end watches that are really almost entirely handmade (exception are a few very special parts that are machined), are watches made by independent watchmakers which does not have the capital (and are not interested in) to own  a production line full of 200K+ EURO  machines, there the various components are really made by hand, using hand tools, or machined but without CNC - those independent watchmakers are then able to produce only 4-10 watches per year, the watches usually costs north than that over-hyped PP shown in this video ;-)"
162,ham,5:35 which luxury brands are you referencing that aren’t as well finished as some replicas?
163,ham,as a video maker I am more impressed by the macro shots you got. what lenses did u use?
164,ham,For a simple complication there is no value in price.  IMO just over priced even for the fake.
165,ham,"Back in the day when the British made pocket watches were king,there were also fake British watches.

It was the swiss who were making them!"
166,ham,Love the accent.
167,ham,Replica is so good that i bet she threw the real one away by mistake after the comparison...
168,ham,This was very enlightening. I'm not going to buy a watch off of Amazon ever and will go straight to the manufacturer. Thanks for showing us how to spot a Patek Philippe fake.
169,ham,U need a real watch to spot those differences 😂😂
170,ham,"I'd honestly rather buy the replica even if i had the money to buy the gen. I get the appreciation for horology, mechanics, craftsmanship, and heritage; but at the end of the day a watch is just an accessory to tell the time. A penny saved is a penny earned."
171,ham,absolutely love it submariner.store !
172,ham,4:09 what's that number 2 scratch mean on real watch?
173,ham,Patek reminds me of a classic Seiko 5.
174,ham,"Instead of imitating, they could create their own brands. It's still just an imitation."
175,ham,I think it's pretty good for the 59500€ difference in price. You must spend quite a lot of time on replica watch forums to know all this 😉
176,ham,They replicated the movement now too gg
177,ham,Masterclass
178,ham,"The amazing replicas here in China are too pricey now but they have amazing craftsmanship . Great vid and you are right, you need a real reference at hand."
179,ham,that two watch have and do the same job..to show what the time now....!hahahahaha.
180,ham,Im probably never gonna make that 60k mistake 😂😂😂😂
181,ham,Got a link to wear I can buy the super clone at?!? Lol
182,ham,Yea that would be a very very expensive mistake since the real patek Philippes are I heard in some cases past down as family heirlooms  there’s a saying the quality is so good you just look after it for the next Generation more less you never own it..
183,ham,Can u learn me to service watches...can i b a apprentice for u...
184,ham,3:21 @jenni I think there is an editing mistake :)
185,ham,"woo, I`m not confident of picking the real one out of them..."
186,ham,"Solution but a vintage casio, the best"
187,ham,Ultimately it comes down to YOU and how it makes you feel when you wear it. Back in the days I did acquire a fairly good replica of a Yachtmaster with an ETA module however now it just doesn't feel right wearing a fake.  Personally knowing it's a 100% genuine article makes a world of difference in how you proudly wear it. Would recommend only purchasing these high end timepieces from an authorized seller and definitely not eBay.
188,ham,"Honestly I would have the fake, if I get robbed, at least I know I didn't just lose $60,000."
189,ham,"After looking this video, The choice of my next luxurious watch will be a fake P.P. with no doubt."
190,ham,"very useful important information, thank you"
191,ham,Glitch in the matrix at 3:25
192,ham,"We’re going to talk about the movement in a minute... you can say that again!  (that tripped me out, man!)"
193,ham,What if someone switch up the watch with slide of hand at an AD or a store?
194,ham,I can't stand this watch... I'll never understand the hype.
195,ham,"I'm here because I was about to put this watch that I found in my stuff for $10 dollars and then I went to Offer up and typed in the name and a few things popped up with over 180K dollars and I was like WTF. but the thing is... I cannot find the type of Patek Phillipe Geneve watch that I have anywhere. and the calendar goes from 2001 - 2012 only. and I can't find a serial number UNLESS I need to open up the back, which is glass, and those little gems are purple like. not red. If this watch that I have somehow ends up being real. OMG, this will really help if I find someone willing to purchase it. It's silver and leather. three little dials and the big one for time, year, month, date, and day."
196,ham,"Love how no one ever gives you the links of all theae great replica,s.....pshhh"
197,ham,Great :)
198,ham,What is the draw with Patec?  It's the most pain jane watch i've ever seen
199,ham,Left one @01:13
200,ham,There are many super good clones of known brands available now. You need to be an expert for some. Be careful if you buy second hand. Jenni pls do a video on how buy a second hand watch...
201,ham,The most shocking thing about seeing a super rep is the realisation that the authentic costing loads of thousands actually isn't worth its price tag.
202,ham,I spotted the difference between the original (left) right away in the first 5 seconds.
203,ham,"500 euro is the real production price, well.. at most 1000 euro. But branding you know it cost more than real value of item itself 🤔"
204,ham,What’s the link? For research purposes only.
205,ham,Give China a few more years to improve 🙃
206,ham,How much u get paid for your “professional analysis” ???
207,ham,"Зачем покупать потделку, если оригинал просто напросто в руках никогда не подержишь...????"
208,ham,I don't care of these watches... I want your shirt !
209,ham,I never understand the beauty of this watch. I just don't get it.
210,ham,I never thought I would find a channel like yours. You legit have the best camera angles and very in depth reviews 😗
211,ham,"So, for arguments sake, if they replica changed the brand name. Retained the styling, and the movement lasted for a life time. Then what justifies the Patek?"
212,ham,"I randomly ran into your video & now I'm a subscriber. LOL really enjoyed watching the videos. You speak very sincerely with passion (unlike a lot of watch people out there with authoritative opinionated attitude...) we all do this to be happy, right?! 🤔😜  Cheers!"
213,ham,I'll get a brand new Toyota with mods for euro 60k and the extra money on the replica watch 😆
214,ham,"Instead of wasting $60.000, - on 1 watch. Do something kind for your family or friends"
215,ham,"The first would be, who wears it haha arrive in a bentley with the fake, people will think it’s real, arrive with a real in a civic and people will tell it’s a fake. Sad, but true"
216,ham,The person who made that 60k mistake deserved losing it. So no hard feeling honey.
217,ham,this and other videos are completely stolen from watchvice! just her voice
218,spam,Great video!
219,ham,This one is good replica. Now just image what they can offer for 4-5k EUR :)
220,ham,To sum up: Just compare the watch in question with the authentic one
221,ham,post the link for some of us to get the replica :)
222,ham,Love to know where you got this from
223,ham,"Loved the videos, except for a few weird and very noticable cuts here and there"
224,ham,Imagine having 60k to buy a watch and getting it from some random guy in a back alley. Smh...
225,ham,I'd had buy the replica if the Patek logo was remove for the same price for that quality 😅
226,ham,the one on the right-my right is the real one
227,ham,i only trust rolex.poker and submariner.store
228,ham,shows you how much they are upping the price just by brand name
229,ham,"Please who replicating please take so notes. 
Thanks You guys, Knowledge is Power."
230,ham,what is the feeling of the bracelet? i imagine a good fake would have a solid feel still? every fake watch i've held has been extremely obvious at the bracelet
231,ham,"Nice to see a young lady intrested in mens watches , good luck sweetie"
232,ham,reptime gang?
233,ham,I mean I'm not gonna pull out a magnifying glass to inspect the watch of a bloke I met at the airport lounge!
234,ham,The Chinese are the best 👍🏻
235,ham,letf!?
236,ham,"Thanks, we will make these changes Now."
237,ham,"Theft and plagiarism of everything are the hallmarks of this east asian country, need I say the name. Thats how good they have made name for themselves. 😂"
238,ham,The colour gives the game away immediately. That's what's really shocking.
239,ham,"Thanks for the review, now let me know, where I can get a fake one"
240,ham,"wow this video makes me the think patek phillipe is over charging for the natuilas by 59, 500 euros"
241,ham,"The replica is slightly more aesthetic, a bit more robust, sportier. This exposes the top Swiss watch makers as gougers"
242,ham,could you also check the serial numbers?
243,ham,I'll stick with my G-Shock GA-100 thanks.
244,ham,the one on the left looks like the real one
245,ham,"Just goes to show how overpriced these designer watches are - it's all about making you feel good that you're wearing something ridiculously  expensive.
Obviously though, if you own an original, you're filthy rich and won't care what a gutter rat like me says anyway 😒🙊"
246,ham,I'm sure counterfeiters are watching these vids closely and taking notes.
247,ham,Nice looking watch. I would be quite happy with either.
248,ham,I’d bet if you compare 2 genuine watches to each other you’ll see differences in them as well.
249,ham,Are you wearing a ROLEX day-date platinum?!?!? Greetings from sunny Greece
250,ham,The one on the right
251,ham,Time for the Swiss to rethink their marketing strategy.
252,ham,"I have a genuine 15k hublot, and not one person in 8 years has mentioned it, I also have a £300 armani skeleton and a few people  said nice watch, so go figure, no one gives a shit, its all subjective"
253,ham,"So, I save $55,500 for a watch that even after watching this video...still can't tell the difference.  Where do I buy the ""replica""?"
254,ham,Soon Swiss will start hiring fakemakers for $3/day and raise watch prices
255,ham,Hi Jenni! I recommend you to do a video about the brand “Longines”. I think it provides the best performance related with it’s prices. it’s history since 1832.. I would be happy if you answer!
256,ham,I would argue that the lettering on the original movement was also done by a machine.
257,ham,"Moral of the story is, we must have both watches to find out differences🤔😁😁😁"
258,ham,bet she kept it..:)
259,ham,The colour of the genuine watch is enough to tell you. You do not have to look any further
260,ham,Would have been interesting to weigh the two watches - I imagine that's an area where it would be quite difficult for a fake to precisely match the real thing.
261,ham,One question where can I get the replica? I’ll like to confirm something. 👨🏻‍🦰
262,ham,Should have posted a link to buy the replica
263,ham,Same same but different 😂😂
264,ham,Awsome! Now i can save 59500$ tnx
265,ham,"I think it's hilarious and wonderful at the same time! 

It's like a middle finger to an overpriced Swiss watch company. Just because it's made in Switzerland, they charge tens of thousands of dollars when the build quality and accuracy of a run of the mill Seiko is just as sexy."
266,ham,Jenni Thank You
267,ham,"The small details doesn´t justify the price for an authentic watch, if you have to look at it with a microscope."
268,ham,if you remove the name on the replica and then you simply compare it to other 500$ watches....that is a lot of quality per dollar...
269,ham,"For knowing  time 60000 $? Pay for charity and save time and live , these stuf are good for drug dealer"
270,ham,"Where do I get one of these replicas? you know, for research purposes :D"
271,ham,that is when you realize that super expensive watches are not worth it AT ALL.
272,ham,"What shocked me was the original costs 60,000 euros!"
273,ham,"It makes me think... the réplica is 500€  
The finish of the watch is almost as good as the otiginal, so you are paying like  thousands on the movement?"
274,ham,The beat video that compare watches
275,ham,The One on the right
276,ham,Hello and thank you for providing such interesting fare on your channel; I had to subscribe. A quick naive question for which I am almost completely sure of your answer. Is the fake watches industry universally a Chinese scam?!
277,ham,Really makes you think about watch prices
278,ham,"as long as the time is right, i don care."
279,ham,rolex.poker and submariner.store when it come to reps
280,ham,"Well don China, next time show us 1000 euro version. Thanks."
281,ham,I feel the real one is a scam
282,ham,I like the blue one it looks real
283,ham,overpriced pp..the watch should cost just 1k...fools gold!
284,ham,"2:19 Are you sure you're comparing with original one? What if it was just another ""shocking"" Chinese copy?"
285,ham,"The authentic one is

the one reading this"
286,ham,Both watches show real time👻
287,ham,"This is the V3, the V4 PPF has same dial color"
288,ham,This Patek nauti is not the best fake there are newer ones!
289,ham,what is my patek phillippe diamod watch worth  if has  20 dimonds on a flip top
290,ham,"submariner.store  Came Very Fast about 3 weeks !! Love this watch! Seller was Very Helpful. Great communication with me. I was very hesitant at first, but seller was very helpful and understood. Fits really comfortable. All functions work ! nice polish and very heavy. Fits chunky on the wrist but secure.. not lik a cheap watch... I had to take out 3 links.(skinnyguy) but it was ez. I HIGHLY RECOMMEND this seller. I will getting this same 1 in black. asap. GREAT JOB ??????"
291,ham,where do i buy one?
292,ham,Well the dragon mall in Dubai was full of it the last time i visited. Then you can get one for $100.
293,ham,replica all the way...
294,ham,So what can I get one of these super replicas? Just asking for a friend...
295,ham,"Videos like this help to improve the replica's quality. The central argument against buying fake watches must be a moral one (don't buy because it's wrong!). On the other hand, the central argument in favor is financial (60k vs 500). So, knowing it is wrong to buy fake watch and unable to spend 60k, the alternative is to spend 500 in an homage one."
296,ham,OK... so where do i get the super clone? :D
297,ham,what famous person does she look like? I keep thinking she looks like someone but cant think who lol
298,ham,👍👍👍
299,ham,The dials on most swiss watches are so plain and basic that it makes it easy to clone.  Am yet to see a clone of a Grand Seiko dial.  What does this tell you ?
300,ham,"the finishing of the movement is really spotteable if you've already seen a few high end movement. But anyway the real mistake isn't buying a replica nautilus it's buying a nautilus, that's the mistake."
301,ham,"Thank to China, has made our life easier !"
302,ham,"Haven't watched the video. At 1:06 I stopped to see both watches, they look identical except for one thing: the crown. Googled a nautilus and the crown is not sticking out that much so left one is the real one. Also the contrast of the hour markers is much higher than the fake one. I'll see how I did at the end of the video"
303,ham,People who can spend 60k on watches never heard about youtube
304,ham,just another proof that the luxury watch Industry is BS
305,ham,the differences are so minute that without a microscope..you wouldn t know.
306,ham,Yeah. Thanks for the information. I will buy a replica a will save 60.000$. Thanks again.
307,ham,When the dial colour is off you dont need to compare the rest
308,ham,I would be perfectly happy to own a real new Patek Philippe with some imperfections for $1000.
309,ham,You have to be able to laugh at the Chi COM's ability to exploit American greed and avarice and materialism
310,ham,"Even if I can afford the clone, there is no sense of getting it. Anyone who knows the watch can tell it's a fake just by looking at me. Nice looking watch though."
311,ham,rolex.poker and submariner.store never let me down
312,ham,WHY ARE WE PAYING THE 59500$ DIFFERENCE THEN?? FOR THESE SMALL STUPID DETAILS??? FRAUDSTERS!!!!!!
313,ham,Can’t wait to see more makers with these skills actually floating a brand of their own and offering actual original designs. Sign me up.
314,ham,Could you interchange in a real dial and hands?
315,ham,You forgot the crown protectors
316,ham,I love both!!😘😘😘😘👍🏻
317,ham,"68,000 Euro replica watch, I gotta say, that is really impressive. While the saying is that design is subjective and therefore a matter of personal taste, I wouldn't spend that kind of money on Nautilus (I couldn't care about platinum casing anyways)... a nice gold JL Reverso is more than sufficient for everyday Dick and Jane."
318,ham,left one is real
319,ham,Link for the purchase please. Thanks.
320,ham,"You can get mechanical watches now for under 100  euro that are excellent 👌,"
321,ham,@1:40 false. not true.  Even the real one has different variations of dial colors.  the authentic patek has that variation of Gray blue depending on the year it was produced. this is a very basic information.  you should learn more about the different productions of the authentic items each year to make accurate video on it.
322,ham,Me checking if my $5 seiko digital watch if it is fake. 😂
323,ham,where can i get one of this replicka?
324,ham,now where do I buy the replica?
325,ham,"Time is money, but if you ask someone for the time there is usually no charge. 🤔😏"
326,ham,You sold me...on the replica.  Flame away!
327,ham,Good video! Can i get fake one from you? 😂😂
328,ham,Wow! We should only buy from reputable dealers?
329,ham,"The genuine 5711-1A is a $30k watch it just resells for about 60k, it’s not worth either of those prices, the 3rd gen Overseas blows it out of the water"
330,ham,"I had an expensive watch before but it is giving me a headache to maintain it also I’m not going to wear someone name to advertise for them, now I like a cheap one and it can tell a time."
331,ham,dégradé and sound of rotor is what you'd notice immediately when holding the real watch vs fake.
332,ham,WE ARE GOING TO TALK ABOUT THE MOVEMENT IN A MINUTE
333,ham,My best advice is to always buy from an authorized dealer.
334,ham,How much ?
335,ham,in 144p they look the same...
336,ham,same thickness as well? i doubt
337,ham,Why would the Nautilus be 60k?? It’s more like 25k
338,ham,Is this one of the Chinese Noob replicas?
339,ham,"I take 3 superclones ,please !"
340,ham,"Who made replica.
China or Seuss ?"
341,ham,Love watching your videos but I can’t get past the finger nails not being done 😅
342,ham,You just convinced me to purchase the counterfeit!
343,ham,Can you do for a CITIZEN CC9015-54E ? TY
344,ham,Where can you buy this replica? Original is way out of my reach. Can I get this in Australia or shipped here in Australia from reliable source?
345,ham,Hi from China thanks for tip. Will do better next time!!
346,ham,i did review on rolex.poker and submariner.store
347,ham,"1:44 not true. Even the real one has different variations of blue, depends on year. Just like Rolex MK's..."
348,ham,I've been collecting watches for 30 minutes now and I still can't tell the difference
349,ham,outwardly such a not beautiful watch. for such a big price
350,ham,Meanwhile some Chinese guy is making notes
351,ham,Fake watch maker:- thanks for sharing these points. We will take care about these next time.
352,ham,"You know why I love this video? You get straight to the point and on top of that you add timestamps in the description about 

Watchfinder's recent video on $1000 fake vs real deal was 90% of the time spent about him talking about the connection between love and peace with watches and the philosophy behind toasters and other garbage. This is exactly what I wanted to see a head-to-head comparison of a fake vs real watch."
353,ham,from where to buy the fake one? i like it :)
354,ham,Wow....
