,0
73,"Thats why i always carry around a bunch of ultra expensive watches and a microscope in my pocket, so when i suspect someone might hive a high quality replica at a fraction of the price, i can pull out the genuine one, lay them side by side and compare them through the scope."
74,i bought my  rep on rolex.poker and submariner.store
75,60K for this? Very ugly....give me a 5K breitling anyday over this.
76,"Buy from an authorized dealer?

If only that was possible."
77,"if the fake is good as the original in terms of reliability and function, the mistake would be to spend $60000 on the original"
78,were going to talk about the movement in a minute ..
79,3:21 some remix
80,It’s all in the little details with watches once you have the real one in your hand 🖐🏾 you will always know if some fake
81,Thanks you’ve just saved me £59500 🤣👌🏽
82,"Anyone know where she bought it, it's very well done 😂"
83,"Just get the fake. Anyone telling me to be honorable and get a genuine cheaper watch, I don't really give a damn. The real theft happens if you buy the 60k watch."
84,"great video, I have subbed, looking forward to watching more vids from you!"
85,"The watch case is one of its most expensive parts, and  some of even high-end brands allow thousands of ""original"" cases go to replicas. Imagine if u want to produce 5000 watches but the case manufacturer says  they only do a minimum of 25000 per model. They agree to free the rest to replicas market. Thats why we find good stainless steel copies. The best way to detect them is the finish in the corners. Originals are smoother, replicas are sharper and unfinished"
86,So where do they sell this horrendous fakes again? I want to take a look for my self.🤔
87,"The difference between the real price and the value of this watch is so hilarious, you can buy 60k by paying 30k (if you have 15 years to spend waiting)"
88,"I just got 1 question though, where you get the replica?"
89,If i bought this watch I would have to live in it. Of course i would have to quit eating
90,"If you had a real reference watch in one hand why on earth would you have a fake in the other?. More nonsense, just be careful if you want the real thing & use a trusted dealer. But if you are someone who has about 60k to spend on a watch you wont need telling. You wont have amassed that amount of money through being stupid, would you!."
91,6:40 What is the brand of the leather case?
92,"I've learned a lot from your review,  your very good at what you do, thank you ....."
93,Attention to the details! Thank you. Good clip.
94,"Jenni, you remind me of my next wife 🥰"
95,“Thank you for alerting us to these issues; we will address them.”  —China
96,4:41 what's that stuff on the hand?
97,First look : the same. Second look : the shame 😉
98,"It's a good thing I watched this video....  I was just getting ready to drop 60,000 euros on a watch. 
Cha-Ching....  I just saved myself 59,990 euros."
99,"If the fake was branded ""Pathetically Poor"" (taxpayer edition) I might order one. As it would be a giggle."
100,Good points! Thank you!.
101,"Great, I really love this video! I found it on google , I've subscribed to this channel and I can't wait to see more great content like this one in the next few weeks, thank you very much!"
102,'Thank you Jeni. We try harder next time.' The factory owner...
103,"My takeaway (and sorry Switzerland) is that until I've got the cash to buy the real thing and compare it, every one I see on somebody else's wrist is a fake."
104,"Thank you for sharing this great video,you are so helpful,I like your videos,    I received the best quality one from replicaclubs..ru two months ago"
105,"Who in their right mind would pay 60,000 euro for a watch lol"
106,right original left clone before you said. i lost the challenge :D
107,"Hello, I really liked your video, explanation .... I would like to know where should I go to get one of this replicas? Is there any place you can recomend me?  Thank you"
108,That emperor green tint in the blue is a good one to use.
109,Thanks I learned something new. I appreciate your work.
110,Your voice is so hot! I subscribed! Greetings from Eastern Europe!
111,You can spot the tiny details looking through a magnifier glass. great video.
112,"I’d love to see the factory in which this replica is made, and the processes they use. To achieve this level of finishing for this price... must be a pretty advanced workshop by anyone’s measure."
113,Wow!!! A lady into her watches is lovely!
114,"Beautiful girl, interesting video, thank you Jenny"
115,So close enough to said far away from real magnificent piece Thank you again for amazing advice 👍🏼👍🏼....
116,"4:06  the fake on is 14 days off, that's a nice way to spot it."
117,I wonder how much is the markup on these high end watches...
118,Thanks for the video Jenni! The sound seems to be slightly out of sync :)
119,"Even if I have €60.000, I would choose the fake one.. just to fool the rich bastard"
120,"I just watch this videos to see Jenni. She's a very beautiful and classy woman. Also, I just love her accent. About these two watches, I couldn't even afford the strap of the fake one. 😂"
121,Ottimo! Bellissimo submariner.store .
122,"The question is another : 
Does it really worth it, buying an authorized one, with that crazy price charges, when in exchange, the other options are almost identical in quality but with a ridiculous low price."
123,"The replica is seriously impressive - I can see how the Patek might be worth more, but not 100x as much - maybe 5 or 10x given the higher cost of materials and the better finishing of the movement. I think we are a few years away from perfect 1:1 replicas for a fraction of the price."
124,Great watches and expensive watches are usually mutually exclusive.
125,Andrew TT - this is for you ;)
126,"These replicas are getting too close for comfort.  As a watchmaker l have found only one simple way to  spot a fake Patek or Rolex.  Ok you need to open the watch.... so maybe its not so simple.

The balance wheel is regulated by small weights on the balance wheel.  It's called a free sprung balance wheel and is very difficult to make and adjust. Most balance wheels are simply adjusted by changing the length of the spring using an extra arm that pinches the spring. All fakes use this method!!"
127,"Great content, and you’re cute to"
128,Your volume seems really low btw
129,"I gave up on the purchase, the finish of the date dial was simply SHIT, a pity since the watch itself is very good. when they fix this grotesque error, I buy it."
130,"As a practical note Both have the same job at different cost , almost same look for a normal person."
131,OK but if you arrive in a Camry and cheap clothes then no-one is gonna be convinced
132,Oh No!!! I almost ordered these watches from e-bay. 😏(Wink...wink)
133,"4:45, use a  20  times magnification and you will see the  big imprecisions LoL"
134,"Thank you for sharing dear, and greetings from Costa Rica..."
135,"Thing is that even the real one looks like a $500 watch, totally bland design."
136,"If you think the real one's engraving was done by hand, I've got this nice bridge in Brooklyn for sale..."
137,Ty for this video. Bought the replica and actually really love IT! I'm impressed!
138,Great i love it great review
139,So now we have to carry a magnifying glass 🔎.
140,"Thanks for the tips, now I only need to borrow a real Nautilus from someone so I can make the comparison."
141,"pas mal ( à priori ⁉️) la copie en tous cas visuellement à travers une vidéo ! 
mais avec les copies aussi bonnes soient-elles : "" on a pas l 'experiance de se rendre chez PP et de vivre l 'emotion qui va avec lorsque on s'achète ce type de garde temps ...😷"
142,"I have been collecting pocket watches, generally pre 19th century. Most are cased .925 ssilver but some are 9 to 22 carat cases, which are getting harder to find. Top American made are my favourite, and are growing in value quite quickly. A great hobby."
143,Nice I like how the watch channels have started giving attention to the fake community 😂
144,Subscribed ❤
145,"Thanks, a little bit late in my part, but thanks for this kind of video, it's an. unvaluable resource for the watch loving community."
146,"Incredible, thanks you, from Buenos Aires.  👍👍👍👍"
147,"I was looking at this from a usd point of view and went ""60 is real while 500 is fake?"" 😂😂😂"
148,"I'm sold, I'll take 1 replica please"
149,barbara🏅🎖🏅
150,She’s indirectly saying save 60 grand and get the fake 🤷🏽‍♂️
151,"so nice and pretty girl, and also skilled in luxury watches, greetings for you, and thanks to teach us to know the diferences among watches using telescopes :D

i will go for a super clone, clone watches are enough for me ;)"
152,"Thank you, we will make those changes - CHINA 🇨🇳"
153,"With all due respect,
mathematically
60.000 < 500"
154,"Its growing, some watch dealers are saying 1 in 10 or more watches customers send in are fakes and its getting worse all the time"
155,Chinese Manufacturer: Thank you for pointing these out. We will do better on our next fake.
156,"Tourbillion swiss watches över 150k
Tag heur tourbillion 15k
Means no need to buy luxury watches"
157,"Thanks for posting. I'm now sure, that this clone have good quality. Where can I buy this watch replica?"
158,tbh its really hard to find and buy good replica. every single one that i saw was really bad.
159,Am waiting for the astronomia replica💯💯
160,"So to actually be able to tell the difference, you need a microscope and a real version next to the replica. Yeah, PP can keep their 60,000 euro. I will take the 500 euro replica and invest the difference."
161,"Jenni Elle FYI: the engraving on the movement on a genuine is not made by hand (impossible), it is made by a CNC machine, same like all other parts of the movement on that 60K Patek, the ""handmade"" part belongs only to the finishing of the movement (bevelling, polishing, and the geneva strips / pearlage) and assembly of parts.
The only high-end watches that are really almost entirely handmade (exception are a few very special parts that are machined), are watches made by independent watchmakers which does not have the capital (and are not interested in) to own  a production line full of 200K+ EURO  machines, there the various components are really made by hand, using hand tools, or machined but without CNC - those independent watchmakers are then able to produce only 4-10 watches per year, the watches usually costs north than that over-hyped PP shown in this video ;-)"
162,5:35 which luxury brands are you referencing that aren’t as well finished as some replicas?
163,as a video maker I am more impressed by the macro shots you got. what lenses did u use?
164,For a simple complication there is no value in price.  IMO just over priced even for the fake.
165,"Back in the day when the British made pocket watches were king,there were also fake British watches.

It was the swiss who were making them!"
166,Love the accent.
167,Replica is so good that i bet she threw the real one away by mistake after the comparison...
168,This was very enlightening. I'm not going to buy a watch off of Amazon ever and will go straight to the manufacturer. Thanks for showing us how to spot a Patek Philippe fake.
169,U need a real watch to spot those differences 😂😂
170,"I'd honestly rather buy the replica even if i had the money to buy the gen. I get the appreciation for horology, mechanics, craftsmanship, and heritage; but at the end of the day a watch is just an accessory to tell the time. A penny saved is a penny earned."
171,absolutely love it submariner.store !
172,4:09 what's that number 2 scratch mean on real watch?
173,Patek reminds me of a classic Seiko 5.
174,"Instead of imitating, they could create their own brands. It's still just an imitation."
175,I think it's pretty good for the 59500€ difference in price. You must spend quite a lot of time on replica watch forums to know all this 😉
176,They replicated the movement now too gg
177,Masterclass
178,"The amazing replicas here in China are too pricey now but they have amazing craftsmanship . Great vid and you are right, you need a real reference at hand."
179,that two watch have and do the same job..to show what the time now....!hahahahaha.
180,Im probably never gonna make that 60k mistake 😂😂😂😂
181,Got a link to wear I can buy the super clone at?!? Lol
182,Yea that would be a very very expensive mistake since the real patek Philippes are I heard in some cases past down as family heirlooms  there’s a saying the quality is so good you just look after it for the next Generation more less you never own it..
183,Can u learn me to service watches...can i b a apprentice for u...
184,3:21 @jenni I think there is an editing mistake :)
185,"woo, I`m not confident of picking the real one out of them..."
186,"Solution but a vintage casio, the best"
187,Ultimately it comes down to YOU and how it makes you feel when you wear it. Back in the days I did acquire a fairly good replica of a Yachtmaster with an ETA module however now it just doesn't feel right wearing a fake.  Personally knowing it's a 100% genuine article makes a world of difference in how you proudly wear it. Would recommend only purchasing these high end timepieces from an authorized seller and definitely not eBay.
188,"Honestly I would have the fake, if I get robbed, at least I know I didn't just lose $60,000."
189,"After looking this video, The choice of my next luxurious watch will be a fake P.P. with no doubt."
190,"very useful important information, thank you"
191,Glitch in the matrix at 3:25
192,"We’re going to talk about the movement in a minute... you can say that again!  (that tripped me out, man!)"
193,What if someone switch up the watch with slide of hand at an AD or a store?
194,I can't stand this watch... I'll never understand the hype.
195,"I'm here because I was about to put this watch that I found in my stuff for $10 dollars and then I went to Offer up and typed in the name and a few things popped up with over 180K dollars and I was like WTF. but the thing is... I cannot find the type of Patek Phillipe Geneve watch that I have anywhere. and the calendar goes from 2001 - 2012 only. and I can't find a serial number UNLESS I need to open up the back, which is glass, and those little gems are purple like. not red. If this watch that I have somehow ends up being real. OMG, this will really help if I find someone willing to purchase it. It's silver and leather. three little dials and the big one for time, year, month, date, and day."
196,"Love how no one ever gives you the links of all theae great replica,s.....pshhh"
197,Great :)
198,What is the draw with Patec?  It's the most pain jane watch i've ever seen
199,Left one @01:13
200,There are many super good clones of known brands available now. You need to be an expert for some. Be careful if you buy second hand. Jenni pls do a video on how buy a second hand watch...
201,The most shocking thing about seeing a super rep is the realisation that the authentic costing loads of thousands actually isn't worth its price tag.
202,I spotted the difference between the original (left) right away in the first 5 seconds.
203,"500 euro is the real production price, well.. at most 1000 euro. But branding you know it cost more than real value of item itself 🤔"
204,What’s the link? For research purposes only.
205,Give China a few more years to improve 🙃
206,How much u get paid for your “professional analysis” ???
207,"Зачем покупать потделку, если оригинал просто напросто в руках никогда не подержишь...????"
208,I don't care of these watches... I want your shirt !
209,I never understand the beauty of this watch. I just don't get it.
210,I never thought I would find a channel like yours. You legit have the best camera angles and very in depth reviews 😗
211,"So, for arguments sake, if they replica changed the brand name. Retained the styling, and the movement lasted for a life time. Then what justifies the Patek?"
212,"I randomly ran into your video & now I'm a subscriber. LOL really enjoyed watching the videos. You speak very sincerely with passion (unlike a lot of watch people out there with authoritative opinionated attitude...) we all do this to be happy, right?! 🤔😜  Cheers!"
213,I'll get a brand new Toyota with mods for euro 60k and the extra money on the replica watch 😆
214,"Instead of wasting $60.000, - on 1 watch. Do something kind for your family or friends"
215,"The first would be, who wears it haha arrive in a bentley with the fake, people will think it’s real, arrive with a real in a civic and people will tell it’s a fake. Sad, but true"
216,The person who made that 60k mistake deserved losing it. So no hard feeling honey.
217,this and other videos are completely stolen from watchvice! just her voice
218,Great video!
219,This one is good replica. Now just image what they can offer for 4-5k EUR :)
220,To sum up: Just compare the watch in question with the authentic one
221,post the link for some of us to get the replica :)
222,Love to know where you got this from
223,"Loved the videos, except for a few weird and very noticable cuts here and there"
224,Imagine having 60k to buy a watch and getting it from some random guy in a back alley. Smh...
225,I'd had buy the replica if the Patek logo was remove for the same price for that quality 😅
226,the one on the right-my right is the real one
227,i only trust rolex.poker and submariner.store
228,shows you how much they are upping the price just by brand name
229,"Please who replicating please take so notes. 
Thanks You guys, Knowledge is Power."
230,what is the feeling of the bracelet? i imagine a good fake would have a solid feel still? every fake watch i've held has been extremely obvious at the bracelet
231,"Nice to see a young lady intrested in mens watches , good luck sweetie"
232,reptime gang?
233,I mean I'm not gonna pull out a magnifying glass to inspect the watch of a bloke I met at the airport lounge!
234,The Chinese are the best 👍🏻
235,letf!?
236,"Thanks, we will make these changes Now."
237,"Theft and plagiarism of everything are the hallmarks of this east asian country, need I say the name. Thats how good they have made name for themselves. 😂"
238,The colour gives the game away immediately. That's what's really shocking.
239,"Thanks for the review, now let me know, where I can get a fake one"
240,"wow this video makes me the think patek phillipe is over charging for the natuilas by 59, 500 euros"
241,"The replica is slightly more aesthetic, a bit more robust, sportier. This exposes the top Swiss watch makers as gougers"
242,could you also check the serial numbers?
243,I'll stick with my G-Shock GA-100 thanks.
244,the one on the left looks like the real one
245,"Just goes to show how overpriced these designer watches are - it's all about making you feel good that you're wearing something ridiculously  expensive.
Obviously though, if you own an original, you're filthy rich and won't care what a gutter rat like me says anyway 😒🙊"
246,I'm sure counterfeiters are watching these vids closely and taking notes.
247,Nice looking watch. I would be quite happy with either.
248,I’d bet if you compare 2 genuine watches to each other you’ll see differences in them as well.
249,Are you wearing a ROLEX day-date platinum?!?!? Greetings from sunny Greece
250,The one on the right
251,Time for the Swiss to rethink their marketing strategy.
252,"I have a genuine 15k hublot, and not one person in 8 years has mentioned it, I also have a £300 armani skeleton and a few people  said nice watch, so go figure, no one gives a shit, its all subjective"
253,"So, I save $55,500 for a watch that even after watching this video...still can't tell the difference.  Where do I buy the ""replica""?"
254,Soon Swiss will start hiring fakemakers for $3/day and raise watch prices
255,Hi Jenni! I recommend you to do a video about the brand “Longines”. I think it provides the best performance related with it’s prices. it’s history since 1832.. I would be happy if you answer!
256,I would argue that the lettering on the original movement was also done by a machine.
257,"Moral of the story is, we must have both watches to find out differences🤔😁😁😁"
258,bet she kept it..:)
259,The colour of the genuine watch is enough to tell you. You do not have to look any further
260,Would have been interesting to weigh the two watches - I imagine that's an area where it would be quite difficult for a fake to precisely match the real thing.
261,One question where can I get the replica? I’ll like to confirm something. 👨🏻‍🦰
262,Should have posted a link to buy the replica
263,Same same but different 😂😂
264,Awsome! Now i can save 59500$ tnx
265,"I think it's hilarious and wonderful at the same time! 

It's like a middle finger to an overpriced Swiss watch company. Just because it's made in Switzerland, they charge tens of thousands of dollars when the build quality and accuracy of a run of the mill Seiko is just as sexy."
266,Jenni Thank You
267,"The small details doesn´t justify the price for an authentic watch, if you have to look at it with a microscope."
268,if you remove the name on the replica and then you simply compare it to other 500$ watches....that is a lot of quality per dollar...
269,"For knowing  time 60000 $? Pay for charity and save time and live , these stuf are good for drug dealer"
270,"Where do I get one of these replicas? you know, for research purposes :D"
271,that is when you realize that super expensive watches are not worth it AT ALL.
272,"What shocked me was the original costs 60,000 euros!"
273,"It makes me think... the réplica is 500€  
The finish of the watch is almost as good as the otiginal, so you are paying like  thousands on the movement?"
274,The beat video that compare watches
275,The One on the right
276,Hello and thank you for providing such interesting fare on your channel; I had to subscribe. A quick naive question for which I am almost completely sure of your answer. Is the fake watches industry universally a Chinese scam?!
277,Really makes you think about watch prices
278,"as long as the time is right, i don care."
279,rolex.poker and submariner.store when it come to reps
280,"Well don China, next time show us 1000 euro version. Thanks."
281,I feel the real one is a scam
282,I like the blue one it looks real
283,overpriced pp..the watch should cost just 1k...fools gold!
284,"2:19 Are you sure you're comparing with original one? What if it was just another ""shocking"" Chinese copy?"
285,"The authentic one is

the one reading this"
286,Both watches show real time👻
287,"This is the V3, the V4 PPF has same dial color"
288,This Patek nauti is not the best fake there are newer ones!
289,what is my patek phillippe diamod watch worth  if has  20 dimonds on a flip top
290,"submariner.store  Came Very Fast about 3 weeks !! Love this watch! Seller was Very Helpful. Great communication with me. I was very hesitant at first, but seller was very helpful and understood. Fits really comfortable. All functions work ! nice polish and very heavy. Fits chunky on the wrist but secure.. not lik a cheap watch... I had to take out 3 links.(skinnyguy) but it was ez. I HIGHLY RECOMMEND this seller. I will getting this same 1 in black. asap. GREAT JOB ??????"
291,where do i buy one?
292,Well the dragon mall in Dubai was full of it the last time i visited. Then you can get one for $100.
293,replica all the way...
294,So what can I get one of these super replicas? Just asking for a friend...
295,"Videos like this help to improve the replica's quality. The central argument against buying fake watches must be a moral one (don't buy because it's wrong!). On the other hand, the central argument in favor is financial (60k vs 500). So, knowing it is wrong to buy fake watch and unable to spend 60k, the alternative is to spend 500 in an homage one."
296,OK... so where do i get the super clone? :D
297,what famous person does she look like? I keep thinking she looks like someone but cant think who lol
298,👍👍👍
299,The dials on most swiss watches are so plain and basic that it makes it easy to clone.  Am yet to see a clone of a Grand Seiko dial.  What does this tell you ?
300,"the finishing of the movement is really spotteable if you've already seen a few high end movement. But anyway the real mistake isn't buying a replica nautilus it's buying a nautilus, that's the mistake."
301,"Thank to China, has made our life easier !"
302,"Haven't watched the video. At 1:06 I stopped to see both watches, they look identical except for one thing: the crown. Googled a nautilus and the crown is not sticking out that much so left one is the real one. Also the contrast of the hour markers is much higher than the fake one. I'll see how I did at the end of the video"
303,People who can spend 60k on watches never heard about youtube
304,just another proof that the luxury watch Industry is BS
305,the differences are so minute that without a microscope..you wouldn t know.
306,Yeah. Thanks for the information. I will buy a replica a will save 60.000$. Thanks again.
307,When the dial colour is off you dont need to compare the rest
308,I would be perfectly happy to own a real new Patek Philippe with some imperfections for $1000.
309,You have to be able to laugh at the Chi COM's ability to exploit American greed and avarice and materialism
310,"Even if I can afford the clone, there is no sense of getting it. Anyone who knows the watch can tell it's a fake just by looking at me. Nice looking watch though."
311,rolex.poker and submariner.store never let me down
312,WHY ARE WE PAYING THE 59500$ DIFFERENCE THEN?? FOR THESE SMALL STUPID DETAILS??? FRAUDSTERS!!!!!!
313,Can’t wait to see more makers with these skills actually floating a brand of their own and offering actual original designs. Sign me up.
314,Could you interchange in a real dial and hands?
315,You forgot the crown protectors
316,I love both!!😘😘😘😘👍🏻
317,"68,000 Euro replica watch, I gotta say, that is really impressive. While the saying is that design is subjective and therefore a matter of personal taste, I wouldn't spend that kind of money on Nautilus (I couldn't care about platinum casing anyways)... a nice gold JL Reverso is more than sufficient for everyday Dick and Jane."
318,left one is real
319,Link for the purchase please. Thanks.
320,"You can get mechanical watches now for under 100  euro that are excellent 👌,"
321,@1:40 false. not true.  Even the real one has different variations of dial colors.  the authentic patek has that variation of Gray blue depending on the year it was produced. this is a very basic information.  you should learn more about the different productions of the authentic items each year to make accurate video on it.
322,Me checking if my $5 seiko digital watch if it is fake. 😂
323,where can i get one of this replicka?
324,now where do I buy the replica?
325,"Time is money, but if you ask someone for the time there is usually no charge. 🤔😏"
326,You sold me...on the replica.  Flame away!
327,Good video! Can i get fake one from you? 😂😂
328,Wow! We should only buy from reputable dealers?
329,"The genuine 5711-1A is a $30k watch it just resells for about 60k, it’s not worth either of those prices, the 3rd gen Overseas blows it out of the water"
330,"I had an expensive watch before but it is giving me a headache to maintain it also I’m not going to wear someone name to advertise for them, now I like a cheap one and it can tell a time."
331,dégradé and sound of rotor is what you'd notice immediately when holding the real watch vs fake.
332,WE ARE GOING TO TALK ABOUT THE MOVEMENT IN A MINUTE
333,My best advice is to always buy from an authorized dealer.
334,How much ?
335,in 144p they look the same...
336,same thickness as well? i doubt
337,Why would the Nautilus be 60k?? It’s more like 25k
338,Is this one of the Chinese Noob replicas?
339,"I take 3 superclones ,please !"
340,"Who made replica.
China or Seuss ?"
341,Love watching your videos but I can’t get past the finger nails not being done 😅
342,You just convinced me to purchase the counterfeit!
343,Can you do for a CITIZEN CC9015-54E ? TY
344,Where can you buy this replica? Original is way out of my reach. Can I get this in Australia or shipped here in Australia from reliable source?
345,Hi from China thanks for tip. Will do better next time!!
346,i did review on rolex.poker and submariner.store
347,"1:44 not true. Even the real one has different variations of blue, depends on year. Just like Rolex MK's..."
348,I've been collecting watches for 30 minutes now and I still can't tell the difference
349,outwardly such a not beautiful watch. for such a big price
350,Meanwhile some Chinese guy is making notes
351,Fake watch maker:- thanks for sharing these points. We will take care about these next time.
352,"You know why I love this video? You get straight to the point and on top of that you add timestamps in the description about 

Watchfinder's recent video on $1000 fake vs real deal was 90% of the time spent about him talking about the connection between love and peace with watches and the philosophy behind toasters and other garbage. This is exactly what I wanted to see a head-to-head comparison of a fake vs real watch."
353,from where to buy the fake one? i like it :)
354,Wow....
355,"It would bother me buying it secondhand for $40,000 believing you’re buying a real one, when you’re actually buying a fake. RUN!"
356,"Please do not be confused! If you see 5711 movements pre-2019, you will notice that they utilised the 324 self-winding movement which has the same rotor profile as the fake that is in your video. It wasn't until 2019 onwards in which the 5711 has been given the new 26-330 self-winding movement as seen on the genuine 5711 in the video. That movement has a newer rotor profile. "
357,Amazing value on the fake. The real one: not so much.
358,Where can you buy these high quality replicas?
359,i love to buy from rolex.poker and submariner.store
360,"The one on the left looks genuine, the one on the right has more severe polishing and brushing"
361,The asians are experts are reverse engineering everything.
362,can't understand a thing she said! The accent is so strong and too much talking
363,Could you make a video on how to spot a fake Omega Seamaster 300 white dial?
364,the big giveaway is the crown (screw thing)
365,left is real?
366,When holding them next too each other it’s quit easy too see but I mean out in public I probably couldn’t tell.
367,Link to the replica?
368,Replica stealed whole idea of pp
369,"These videos mostly convince people to search out and buy these high quality replicas. Clickbait for the creators, and brings customers to counterfeiters"
370,Lol modernization gonna kill these brands
371,"Good thing I'll never own a Nautilus. I'd be ogling it constantly under a magnifying glass wherever I'd go, admiring those perfectly shaped and finished hands and indices. Unless it can serve me breakfast, dispense Macallan whiskey and/or blow or grant me sexual favours, €60,000 is a ridiculous price for a wrist-watch... but man, that dial and those hands sure look pretty."
372,So basically you just told the fake manufacturers what they need to improve on their next model!
373,so the conclusion is : Patek price has absolutely nothing to do with actual cost that maybe is about 500 EUR and if fake would sell at 1000 EUR they would make it perfect copy...
374,"看标题，讲复刻表吗？？？
复刻就追求外观而已，机芯还是不一样的。"
375,The one on the left is real.
376,So where did you get this replica from?
377,That's the real deal to replicate something almost like the original one...... That's is Craftsman with a talent.👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
378,"So the real fraud is Patek, making a virtually identical watch for 10's of thousands more!"
379,Where can I find those replicas?
380,The 60 thousand mistake would just be to buy the original
381,Where are these replicas made?
382,Soooo where did you get this replica?
383,"what did Jenni say on 2:04? ""deca date""?"
384,Dmitri Peskov has a really nice watch that he's been seen wearing. I bet V.V. Putin gave it to him.
385,"И смысл переплачивать, все равно в маршрутке не поверят что у тебя оригинал"
